datetime,airTemperature,airTemeratureDiff,atmosphericPressure,atmosphericPressureDiff,gustSpeed,gustSpeedDiff,precipitation,relativeHumidity,relativeHumidityDiff,solarRadiation,windSpeed,windSpeedDiff,windDirection,windDirectionDiff,new,current,total,count1,count2,nonNegDigActivity,pademelon,red_necked_wallaby,great_barred_frog,yellow_throated_scrubwren,noisy_pitta
1/01/2023 0:00,24.8,0.9,101.14,-0.02,4.76,-1.72,0,74.3,-5.1,400,1.26,-0.04,101.1,-39.9,105,152,257,1264,931,0,9,4,13,7,5
1/01/2023 1:00,26.7,1.9,101.07,-0.02,3.72,1.03,0,68.9,-4,1067,1.11,0,56.9,-1.4,141,89,230,1264,931,0,3,3,10,8,2
1/01/2023 2:00,25.4,-0.4,101.03,-0.01,3.1,-0.28,0,72.1,2,1073,1.34,-0.01,55.5,-11.5,77,68,145,1264,931,0,12,13,14,4,5
1/01/2023 3:00,26.4,0.5,100.99,-0.01,2.45,-0.26,0,65.1,-4.3,1018,1.18,0.15,77.7,-0.6,66,25,91,1264,931,0,0,1,7,4,2
1/01/2023 4:00,25.7,-1.7,100.95,0,2.57,0.05,0,68.8,4.1,820,1.16,0.09,66,0.8,37,18,55,1264,931,0,2,13,11,1,7
1/01/2023 5:00,25.4,-0.9,100.88,0,2.96,0.58,0,69.4,2.2,702,1.43,0.19,57.3,-4.5,52,26,78,1264,931,0,10,6,3,7,9
1/01/2023 6:00,24.9,0.2,100.83,-0.02,2.68,-0.3,0,70.5,-1.2,487,1.36,0.25,60.5,3.1,23,26,49,1264,931,0,2,1,8,4,3
1/01/2023 7:00,24.4,0,100.83,-0.01,2.63,0.03,0,71.9,1.6,276,1.26,-0.07,48.2,-8.1,61,16,77,1264,931,0,10,13,7,2,12
1/01/2023 8:00,23.9,-0.2,100.88,0.01,2.42,0.07,0,70.4,0.3,46,0.96,-0.2,61.6,11,11,0,11,1264,931,0,2,14,10,6,2
1/01/2023 9:00,23.5,0,100.96,-0.01,1.41,-0.58,0,70.7,-0.1,0,0.82,0.18,65.2,-7.2,3,0,3,1264,931,0,2,2,5,12,12
1/01/2023 10:00,23.1,-0.1,101.02,0.02,2.22,0.19,0,72.3,0.4,0,0.91,0.16,76.3,-5.1,0,0,0,1264,931,0,11,1,13,13,8
1/01/2023 11:00,22.9,0,101.03,-0.01,2.74,1.35,0,72.9,-0.2,0,0.7,0.19,74.7,4.7,0,0,0,1264,931,0,10,10,14,3,4
1/01/2023 12:00,22.9,0.1,101.04,0,1.69,-0.23,0,72.8,-2,0,0.81,0.1,63.7,7.1,0,0,0,1264,931,0,1,1,14,1,2
1/01/2023 13:00,22.3,-0.1,100.99,-0.02,1.69,-1.46,0,74.8,-1.1,0,0.77,-0.01,63.7,-10.6,0,0,0,1264,931,0,0,0,8,9,10
1/01/2023 14:00,21.9,-0.1,100.92,-0.03,1.33,-1.93,0,74.7,0.2,0,0.57,-0.12,68.7,-1.7,0,0,0,1264,931,0,4,6,13,1,7
1/01/2023 15:00,21.9,-0.2,100.86,-0.03,2,-1.28,0,74.9,0.5,0,0.57,-0.16,97.7,-9,0,0,0,1264,931,0,5,12,0,5,11
1/01/2023 16:00,20.6,0,100.84,-0.02,2.1,-2.73,0,82.5,-0.1,0,1.08,-0.22,161.6,2.4,0,0,0,1264,931,0,8,13,14,10,5
1/01/2023 17:00,20.7,-0.4,100.81,0.01,1.67,0.13,0,83,2.6,0,0.78,0.1,146.7,10.7,0,0,0,1264,931,0,5,2,4,6,3
1/01/2023 18:00,19.5,0.1,100.79,-0.01,2.67,0.13,0,88.6,-0.1,0,1.58,0.27,167,-2.3,0,0,0,1264,931,0,11,0,7,10,14
1/01/2023 19:00,19,-0.1,100.84,0.02,3.3,0.17,0,90.7,0.6,5,1.59,0.06,163.9,-3,9,1,10,1264,931,0,11,3,6,7,9
1/01/2023 20:00,19.4,0.1,100.89,0.03,2.49,0.4,0,90,0.1,50,1.41,0.09,163.1,-2.1,4,0,4,1264,931,0,8,1,11,9,13
1/01/2023 21:00,21.6,0.9,100.97,0.03,3.51,-0.72,0,85.4,-3.1,70,2.13,-0.12,164.4,-1.3,47,20,67,1264,931,0,7,5,6,7,7
1/01/2023 22:00,24.1,0.4,100.98,0,5.96,1.38,0,73.3,-4.8,193,1.47,-0.24,124.1,-14.1,62,56,118,1264,931,0,13,4,1,7,7
1/01/2023 23:00,25,-0.1,101.03,0.03,5.48,0.49,0,70.7,-0.8,120,1.7,0.06,124.3,0.7,198,154,352,1264,931,0,12,8,10,8,6
2/01/2023 0:00,24.7,0.1,100.99,-0.01,4.86,-1.09,0,69.9,-1.5,1138,1.25,-1.05,92.8,-38.6,160,169,329,1264,931,0,8,0,8,13,5
2/01/2023 1:00,26.6,1.8,100.95,-0.01,7.28,3.68,0,65.9,-6.7,1113,1.62,0.27,106,23,145,202,347,1264,931,0,6,5,6,0,1
2/01/2023 2:00,26.1,0.3,100.88,-0.02,3.38,-0.55,0,66.6,0.4,1195,1.31,-0.14,79.2,-10.5,101,80,181,1264,931,0,6,12,12,1,10
2/01/2023 3:00,25.4,0,100.81,-0.02,4.09,0.25,0,68.2,-1.1,1059,1.47,0.21,96.7,8.2,67,52,119,1264,931,0,10,2,10,8,0
2/01/2023 4:00,25,-1.7,100.71,-0.02,2.79,0.05,0,66.7,4.7,881,1.3,0.04,61.8,-1.2,62,32,94,1264,931,0,14,9,2,4,7
2/01/2023 5:00,25.4,-0.7,100.67,0.02,2.91,0.1,0,63.6,0.8,196,1.33,0.08,59.3,-4.4,87,54,141,1264,931,0,2,8,0,10,8
2/01/2023 6:00,25,-0.5,100.57,-0.02,2.34,-0.12,0,67.8,2.9,495,1.08,-0.09,64.6,11.7,59,37,96,1264,931,0,2,11,11,1,7
2/01/2023 7:00,25.3,-0.3,100.52,-0.03,2.91,1.03,0,64.5,0.9,267,0.97,-0.02,69.7,9.4,103,56,159,1264,931,0,14,13,7,7,6
2/01/2023 8:00,23.9,-1.1,100.6,0.01,1.5,-0.09,0,69,2.5,27,0.59,-0.06,51.2,-20.2,97,70,167,1264,931,0,12,5,6,0,12
2/01/2023 9:00,22.6,-0.6,100.62,0,1.12,-0.11,0,69.2,0.1,0,0.61,0.01,60.1,0.1,38,21,59,1264,931,0,1,10,2,11,13
2/01/2023 10:00,22.7,0,100.62,0.01,1.45,0.36,0,69.4,-0.7,0,0.74,0.13,57.1,0.1,44,16,60,1264,931,0,4,6,9,4,14
2/01/2023 11:00,22.4,-0.1,100.65,0.02,0.88,-0.49,0,71.3,0.5,0,0.48,-0.01,57.3,1.5,4,0,4,1264,931,0,13,2,6,5,7
2/01/2023 12:00,22.1,0,100.66,0,0.53,-0.32,0,73.6,0.6,0,0.23,-0.12,39.6,-0.7,0,0,0,1264,931,0,2,12,10,10,0
2/01/2023 13:00,21.4,0,100.63,-0.02,1.35,0.39,0,77.9,0.2,0,0.62,0.1,210.8,22.7,0,0,0,1264,931,0,2,3,2,5,6
2/01/2023 14:00,20.7,-0.2,100.58,-0.01,1.51,-0.01,0,81.2,1.2,0,0.76,-0.06,186.9,0.2,0,0,0,1264,931,0,6,12,14,10,8
2/01/2023 15:00,20.3,-0.1,100.5,-0.02,0.92,-0.22,0,82.5,0.7,0,0.49,-0.05,196.9,5.8,0,0,0,1264,931,0,5,6,13,12,0
2/01/2023 16:00,20,-0.1,100.46,-0.01,1.27,-0.05,0,84,0.3,0,0.61,0,204,15.9,0,0,0,1264,931,0,7,7,7,10,0
2/01/2023 17:00,19.7,-0.1,100.43,0,1.32,0.06,0,84.3,0,0,0.63,0.02,176.7,-16.1,0,0,0,1264,931,0,4,14,4,1,3
2/01/2023 18:00,19.2,-0.2,100.47,0.01,1.67,-0.09,0,86.7,0.2,0,0.92,0.08,175.9,-0.9,0,0,0,1264,931,0,1,13,2,0,14
2/01/2023 19:00,18.8,0,100.51,0.01,1.88,0.54,0,88.1,-0.3,6,0.67,-0.01,163.4,-5.6,28,1,29,1264,931,0,7,1,9,14,2
2/01/2023 20:00,19.9,0.3,100.57,0.02,1.95,-0.25,0,85.2,-0.9,36,0.98,0.1,184.7,12,36,23,59,1264,931,0,6,8,4,9,2
2/01/2023 21:00,22.5,0.9,100.61,0.01,2.06,-1.11,0,77.4,-2.5,52,1.06,-0.55,187.9,26.7,157,49,206,1264,931,0,2,8,4,12,2
2/01/2023 22:00,23.3,-0.3,100.61,0,3.04,-0.66,0,71.9,0.1,116,1.04,-0.62,189.8,25,297,66,363,1264,931,0,3,13,5,10,0
2/01/2023 23:00,24.4,0.3,100.61,-0.01,2.56,-1.4,0,64,-2.2,203,0.82,-0.31,170,17.2,416,168,584,1264,931,0,3,1,13,0,10
3/01/2023 0:00,25.7,-0.2,100.54,-0.04,2.05,-0.54,0,64.3,0.7,936,0.97,-0.03,91.2,-9.1,291,141,432,1264,931,0,6,3,8,8,2
3/01/2023 1:00,26.2,-0.4,100.49,-0.01,2.59,0.66,0,63.2,1.9,1047,1.22,0.21,62.3,5,246,70,316,1264,931,0,14,8,2,7,10
3/01/2023 2:00,25.3,0.4,100.4,-0.03,2.7,0.46,0,64,-1,1046,1.18,0.06,61.5,2.7,113,43,156,1264,931,0,9,14,6,5,3
3/01/2023 3:00,26.7,1.7,100.29,-0.04,2.85,0.06,0,60.7,-4.4,1039,1.21,-0.08,52.3,2.7,42,15,57,1264,931,0,14,2,6,5,4
3/01/2023 4:00,26,0.9,100.23,0.01,2.95,0.38,0,63.3,-3.7,422,1.34,0.02,49.5,-9.3,32,23,55,1264,931,0,10,10,2,12,9
3/01/2023 5:00,24.6,0.2,100.17,0,2.92,-0.17,0,69.6,-1.3,363,0.95,-0.03,38.7,-9.3,25,30,55,1264,931,0,1,10,4,3,8
3/01/2023 6:00,25.5,-0.4,100.11,-0.02,2.98,0.16,0,68.1,2.7,491,1.05,0.03,55.8,12.1,43,55,98,1264,931,0,6,1,11,2,6
3/01/2023 7:00,25.3,-0.4,100.04,-0.01,3.04,-0.03,0,68.1,0.9,270,0.82,-0.16,35.6,2.5,84,87,171,1264,931,0,7,9,4,2,1
3/01/2023 8:00,25.4,-0.1,100.1,0.02,5,1.54,0,66.3,0.4,76,1.03,0,322.9,-2.5,51,26,77,1264,931,0,4,7,11,4,6
3/01/2023 9:00,23.9,-0.3,100.19,0.01,1.31,-0.73,0,73.2,2,0,0.54,0,52.7,41,5,0,5,1264,931,0,13,9,7,10,10
3/01/2023 10:00,23.7,-0.2,100.23,0.03,1.54,0.07,0,76,1.2,0,0.47,-0.09,14.3,-337.9,0,0,0,1264,931,0,3,5,7,14,6
